Date,COT_MM_Long,COT_MM_Short,COT_MM_Net
2006-06-13,99739,29859,69880
2006-06-20,91198,30082,61116
2006-06-27,88635,31420,57215
2006-07-03,90104,30778,59326
2006-07-11,101019,29135,71884
2006-07-18,105068,25797,79271
2006-07-25,96891,23984,72907
2006-08-01,95785,25176,70609
2006-08-08,100994,26676,74318
2006-08-15,94115,26225,67890
2006-08-22,87386,27081,60305
2006-08-29,80809,31280,49529
2006-09-05,87652,29430,58222
2006-09-12,76571,30631,45940
2006-09-19,72225,30632,41593
2006-09-26,68325,33001,35324
2006-10-03,66119,33666,32453
2006-10-10,62270,39206,23064
2006-10-17,64602,42773,21829
2006-10-24,54019,43840,10179
2006-10-31,59985,39093,20892
2006-11-07,76134,32604,43530
2006-11-14,79157,29403,49754
2006-11-21,77773,29323,48450
2006-11-28,75457,30862,44595
2006-12-05,80731,28684,52047
2006-12-12,78367,28281,50086
2006-12-19,68672,29711,38961
2006-12-26,69815,31696,38119
2007-01-03,77786,30994,46792
2007-01-09,65657,39661,25996
2007-01-16,68430,33371,35059
2007-01-23,85684,27746,57938
2007-01-30,99352,29366,69986
2007-02-06,109228,27766,81462
2007-02-13,121684,24627,97057
2007-02-20,121632,25830,95802
2007-02-27,135725,23488,112237
2007-03-06,90236,21355,68881
2007-03-13,86278,18012,68266
2007-03-20,84393,17292,67101
2007-03-27,88263,19339,68924
2007-04-03,92087,23268,68819
2007-04-10,106783,23048,83735
2007-04-17,124963,18323,106640
2007-04-24,124958,20388,104570
2007-05-01,122272,18137,104135
2007-05-08,129038,14702,114336
2007-05-15,107716,20305,87411
2007-05-22,95529,29281,66248
2007-05-29,91921,28204,63717
2007-06-05,101257,24239,77018
2007-06-12,80246,36872,43374
2007-06-19,81722,31746,49976
2007-06-26,72368,45874,26494
2007-07-03,69308,34443,34865
2007-07-10,72474,33675,38799
2007-07-17,72985,27947,45038
2007-07-24,114752,19037,95715
2007-07-31,76461,21368,55093
2007-08-07,84522,20981,63541
2007-08-14,77995,12117,65878
2007-08-21,65359,22367,42992
2007-08-28,66292,16289,50003
2007-09-04,85525,11759,73766
2007-09-11,109090,8575,100515
2007-09-18,125440,8362,117078
2007-09-25,153984,9943,144041
2007-10-02,165536,13596,151940
2007-10-09,177069,8722,168347
2007-10-16,191927,9649,182278
2007-10-23,185137,12077,173060
2007-10-30,194052,8156,185896
2007-11-06,198786,12371,186415
2007-11-13,185676,10739,174937
2007-11-20,172412,11566,160846
2007-11-27,163138,11283,151855
2007-12-04,149675,5754,143921
2007-12-11,155465,6109,149356
2007-12-18,155660,9422,146238
2007-12-24,164604,8469,156135
2007-12-31,181902,10649,171253
2008-01-08,191788,11019,180769
2008-01-15,197021,11137,185884
2008-01-22,193039,9618,183421
2008-01-29,191376,9652,181724
2008-02-05,191024,9337,181687
2008-02-12,190428,12352,178076
2008-02-19,200191,12457,187734
2008-02-26,197000,10695,186305
2008-03-04,188294,12567,175727
2008-03-11,186110,10395,175715
2008-03-18,179620,11055,168565
2008-03-25,169444,14286,155158
2008-04-01,146935,11584,135351
2008-04-08,151135,15005,136130
2008-04-15,156260,13481,142779
2008-04-22,157492,14400,143092
2008-04-29,151602,19235,132367
2008-05-06,149175,24848,124327
2008-05-13,150407,31816,118591
2008-05-20,165800,18529,147271
2008-05-27,166394,20722,145672
2008-06-03,155935,22278,133657
2008-06-10,144056,29172,114884
2008-06-17,137007,19823,117184
2008-06-24,143673,23409,120264
2008-07-01,173983,17352,156631
2008-07-08,174230,17127,157103
2008-07-15,184704,15798,168906
2008-07-22,177227,14225,163002
2008-07-29,158000,14757,143243
2008-08-05,142508,13682,128826
2008-08-12,105895,16226,89669
2008-08-19,94403,20486,73917
2008-08-26,96269,29048,67221
2008-09-02,89713,36022,53691
2008-09-09,85376,41009,44367
2008-09-16,89779,43587,46192
2008-09-23,96573,23508,73065
2008-09-30,88674,13550,75124
2008-10-07,87411,17386,70025
2008-10-14,84083,14296,69787
2008-10-21,74401,18759,55642
2008-10-28,69214,23048,46166
2008-11-04,71373,25156,46217
2008-11-11,65794,28922,36872
2008-11-18,62986,23776,39210
2008-11-25,73051,15312,57739
2008-12-02,69409,8657,60752
2008-12-09,69760,11925,57835
2008-12-16,85191,11859,73332
2008-12-22,94571,6768,87803
2008-12-30,99432,7545,91887
2009-01-06,104828,6338,98490
2009-01-13,96909,6889,90020
2009-01-20,101220,8898,92322
2009-01-27,118261,12696,105565
2009-02-03,130230,12946,117284
2009-02-10,135286,12626,122660
2009-02-17,137668,14501,123167
2009-02-24,142009,11416,130593
2009-03-03,142338,7446,134892
2009-03-10,136814,8042,128772
2009-03-17,134182,6202,127980
2009-03-24,134155,8485,125670
2009-03-31,138279,7794,130485
2009-04-07,126084,14927,111157
2009-04-14,125729,13705,112024
2009-04-21,123645,12331,111314
2009-04-28,123760,15478,108282
2009-05-05,126846,12219,114627
2009-05-12,136934,12773,124161
2009-05-19,140605,13146,127459
2009-05-26,155440,12542,142898
2009-06-02,162201,9047,153154
2009-06-09,166473,5836,160637
2009-06-16,153484,6654,146830
2009-06-23,149419,10207,139212
2009-06-30,147628,10141,137487
2009-07-07,144471,5708,138763
2009-07-14,140260,8088,132172
2009-07-21,158071,7736,150335
2009-07-28,154908,7570,147338
2009-08-04,174707,7021,167686
2009-08-11,167169,7234,159935
2009-08-18,153525,12039,141486
2009-08-25,156834,7238,149596
2009-09-01,157220,7182,150038
2009-09-08,194723,7174,187549
2009-09-15,207387,5527,201860
2009-09-22,208236,5170,203066
2009-09-29,198175,3726,194449
2009-10-06,215753,6378,209375
2009-10-13,232086,5232,226854
2009-10-20,233990,6715,227275
2009-10-27,217920,7549,210371
2009-11-03,227499,9278,218221
2009-11-09,223460,8495,214965
2009-11-17,222637,8401,214236
2009-11-24,225366,3589,221777
2009-12-01,224030,6874,217156
2009-12-08,213164,5353,207811
2009-12-15,212517,4429,208088
2009-12-22,206996,4813,202183
2009-12-29,201751,5926,195825
2010-01-05,198506,6907,191599
2010-01-12,202180,11137,191043
2010-01-19,200320,7695,192625
2010-01-26,182133,7766,174367
2010-02-02,187024,8423,178601
2010-02-09,166132,13404,152728
2010-02-16,167613,10459,157154
2010-02-23,171565,6909,164656
2010-03-02,182360,5689,176671
2010-03-09,179078,4670,174408
2010-03-16,176715,6438,170277
2010-03-23,162654,8962,153692
2010-03-30,155355,8135,147220
2010-04-06,181635,6500,175135
2010-04-13,200201,3506,196695
2010-04-20,199008,6768,192240
2010-04-27,210203,4760,205443
2010-05-04,217433,9645,207788
2010-05-11,224664,7134,217530
2010-05-18,226337,6542,219795
2010-05-25,212919,7703,205216
2010-06-01,210717,4459,206258
2010-06-08,215177,5161,210016
2010-06-15,215511,4021,211490
2010-06-22,223219,4354,218865
2010-06-29,219365,4903,214462
2010-07-06,193032,11299,181733
2010-07-13,188892,8138,180754
2010-07-20,169169,20798,148371
2010-07-27,167161,14269,152892
2010-08-03,167800,11435,156365
2010-08-10,167837,9244,158593
2010-08-17,182555,5336,177219
2010-08-24,201864,5780,196084
2010-08-31,215631,6431,209200
2010-09-07,217437,6410,211027
2010-09-14,225821,7571,218250
2010-09-21,219781,5982,213799
2010-09-28,231457,7049,224408
2010-10-05,227061,8345,218716
2010-10-12,233925,9966,223959
2010-10-19,220360,11613,208747
2010-10-26,209780,11743,198037
2010-11-02,211627,16033,195594
2010-11-09,208053,19379,188674
2010-11-16,183835,17233,166602
2010-11-23,185172,15166,170006
2010-11-30,187247,11873,175374
2010-12-07,190212,10455,179757
2010-12-14,180601,11976,168625
2010-12-21,172385,14735,157650
2010-12-28,180866,12952,167914
2011-01-04,172298,16163,156135
2011-01-11,160750,21194,139556
2011-01-18,159114,25874,133240
2011-01-25,160562,22345,138217
2011-02-01,145530,21797,123733
2011-02-08,159732,18223,141509
2011-02-15,166406,12172,154234
2011-02-22,185082,16633,168449
2011-03-01,199371,10555,188816
2011-03-08,197377,8757,188620
2011-03-15,187986,11748,176238
2011-03-22,183912,5037,178875
2011-03-29,196020,4603,191417
2011-04-05,213018,6324,206694
2011-04-12,208714,6810,201904
2011-04-19,216243,4506,211737
2011-04-26,207496,5079,202417
2011-05-03,203624,10746,192878
2011-05-10,191435,10461,180974
2011-05-17,181722,7934,173788
2011-05-24,191481,14589,176892
2011-05-31,197416,10101,187315
2011-06-07,203518,7648,195870
2011-06-14,197429,9643,187786
2011-06-21,213479,7220,206259
2011-06-28,178804,9233,169571
2011-07-05,173769,8346,165423
2011-07-12,208383,9278,199105
2011-07-19,220116,9827,210289
2011-07-26,221551,8050,213501
2011-08-02,237847,9023,228824
2011-08-09,201303,9893,191410
2011-08-16,213261,13386,199875
2011-08-23,202430,10108,192322
2011-08-30,189799,6727,183072
2011-09-06,195197,7002,188195
2011-09-13,182461,6192,176269
2011-09-20,159718,8293,151425
2011-09-27,136103,13628,122475
2011-10-04,133320,12631,120689
2011-10-11,134111,12090,122021
2011-10-18,132678,14779,117899
2011-10-25,141961,15391,126570
2011-11-01,144879,11868,133011
2011-11-08,155632,9577,146055
2011-11-15,159850,8940,150910
2011-11-22,146180,8498,137682
2011-11-29,141009,7215,133794
2011-12-06,146486,8794,137692
2011-12-13,137811,10674,127137
2011-12-20,124617,13147,111470
2011-12-27,120594,14551,106043
2012-01-03,121961,17399,104562
2012-01-10,118994,15014,103980
2012-01-17,120582,11927,108655
2012-01-24,127512,10356,117156
2012-01-31,149921,5973,143948
2012-02-07,161575,5966,155609
2012-02-14,156994,8005,148989
2012-02-21,169144,8850,160294
2012-02-28,184843,7700,177143
2012-03-06,153286,11445,141841
2012-03-13,146286,12668,133618
2012-03-20,129938,16840,113098
2012-03-27,136546,12463,124083
2012-04-03,126887,13847,113040
2012-04-10,119710,15480,104230
2012-04-17,117770,10194,107576
2012-04-24,115706,12356,103350
2012-05-01,119865,9809,110056
2012-05-08,113307,22935,90372
2012-05-15,112920,32822,80098
2012-05-22,113453,38808,74645
2012-05-29,113383,40857,72526
2012-06-05,124211,35621,88590
2012-06-12,120365,32492,87873
2012-06-19,121411,28260,93151
2012-06-26,110884,33389,77495
2012-07-03,125464,29245,96219
2012-07-10,115071,34784,80287
2012-07-17,109800,28444,81356
2012-07-24,92963,33154,59809
2012-07-31,105196,24339,80857
2012-08-07,96887,27177,69710
2012-08-14,95478,28822,66656
2012-08-21,111063,19478,91585
2012-08-28,127743,14577,113166
2012-09-04,136347,13420,122927
2012-09-11,147696,10083,137613
2012-09-18,155972,11670,144302
2012-09-25,167404,9176,158228
2012-10-02,171822,8832,162990
2012-10-09,177644,10171,167473
2012-10-16,169829,11245,158584
2012-10-23,159412,12776,146636
2012-10-30,149389,13961,135428
2012-11-06,128668,13499,115169
2012-11-13,137972,13042,124930
2012-11-20,147339,11400,135939
2012-11-27,159947,7640,152307
2012-12-04,134304,15559,118745
2012-12-11,134234,14579,119655
2012-12-18,130786,22755,108031
2012-12-24,128403,29509,98894
2012-12-31,124967,27848,97119
2013-01-08,117603,30254,87349
2013-01-15,118437,27333,91104
2013-01-22,121758,23861,97897
2013-01-29,111076,34575,76501
2013-02-05,113058,34510,78548
2013-02-12,113939,47357,66582
2013-02-19,109507,66697,42810
2013-02-26,112888,62035,50853
2013-03-05,108352,67182,41170
2013-03-12,112966,68642,44324
2013-03-19,121388,56609,64779
2013-03-26,110766,54831,55935
2013-04-02,110504,66308,44196
2013-04-09,113423,63436,49987
2013-04-16,122687,54025,68662
2013-04-23,119662,66743,52919
2013-04-30,116815,65224,51591
2013-05-07,115705,67172,48533
2013-05-14,112533,73149,39384
2013-05-21,113088,76730,36358
2013-05-28,114281,67244,47037
2013-06-04,112259,58671,53588
2013-06-11,116492,61174,55318
2013-06-18,110415,71162,39253
2013-06-25,107441,77152,30289
2013-07-02,103011,81627,21384
2013-07-09,105942,82060,23882
2013-07-16,106737,64896,41841
2013-07-23,111993,56639,55354
2013-07-30,108850,56821,52029
2013-08-06,105340,70596,34744
2013-08-13,100561,62573,37988
2013-08-20,104483,56067,48416
2013-08-27,105531,35142,70389
2013-09-03,107642,32242,75400
2013-09-10,100358,35578,64780
2013-09-17,96370,41590,54780
2013-09-24,99035,35023,64012
2013-10-01,97777,36394,61383
2013-10-08,97919,26363,71556
2013-10-15,97326,44536,52790
2013-10-22,105074,38476,66598
2013-10-29,109627,21224,88403
2013-11-05,105007,26923,78084
2013-11-12,100760,54653,46107
2013-11-19,97331,62800,34531
2013-11-26,93619,77658,15961
2013-12-03,93671,83730,9941
2013-12-10,94330,78527,15803
2013-12-17,93399,79637,13762
2013-12-24,93958,82765,11193
2013-12-31,96059,78334,17725
2014-01-07,98659,74421,24238
2014-01-14,104303,76033,28270
2014-01-21,104723,74506,30217
2014-01-28,109782,62544,47238
2014-02-04,107407,63755,43652
2014-02-11,116817,64731,52086
2014-02-18,123273,54503,68770
2014-02-25,127279,31023,96256
2014-03-04,128351,27184,101167
2014-03-11,127797,21766,106031
2014-03-18,137216,16153,121063
2014-03-25,125231,18218,107013
2014-04-01,117969,26516,91453
2014-04-08,109728,28201,81527
2014-04-15,105454,32464,72990
2014-04-22,105681,28575,77106
2014-04-29,106919,29512,77407
2014-05-06,119385,28746,90639
2014-05-13,114561,32107,82454
2014-05-20,112385,31232,81153
2014-05-27,111146,53577,57569
2014-06-03,111245,73063,38182
2014-06-10,111795,73741,38054
2014-06-17,113624,60065,53559
2014-06-24,134571,34641,99930
2014-07-01,149227,23273,125954
2014-07-08,154719,20943,133776
2014-07-15,149260,27173,122087
2014-07-22,148121,22395,125726
2014-07-29,135724,27094,108630
2014-08-05,123819,33140,90679
2014-08-12,138357,21930,116427
2014-08-19,128398,25193,103205
2014-08-26,118012,36830,81182
2014-09-02,116120,53202,62918
2014-09-09,118708,58501,60207
2014-09-16,113659,73364,40295
2014-09-23,110427,80297,30130
2014-09-30,111264,80341,30923
2014-10-07,110064,80201,29863
2014-10-14,123582,81386,42196
2014-10-21,132835,70347,62488
2014-10-28,128420,68353,60067
2014-11-04,113324,74519,38805
2014-11-11,110478,79863,30615
2014-11-18,119566,71166,48400
2014-11-25,113999,59549,54450
2014-12-02,117804,49170,68634
2014-12-09,130648,39985,90663
2014-12-16,127571,35746,91825
2014-12-23,123087,40890,82197
2014-12-30,124928,37878,87050
2015-01-06,128325,34129,94196
2015-01-13,132173,30232,101941
2015-01-20,155602,26261,129341
2015-01-27,173110,19873,153237
2015-02-03,167310,18984,148326
2015-02-10,140835,21298,119537
2015-02-17,128595,32903,95692
2015-02-24,124595,35108,89487
2015-03-03,115279,42320,72959
2015-03-10,107032,58359,48673
2015-03-17,97847,78623,19224
2015-03-24,98784,87349,11435
2015-03-31,103808,67752,36056
2015-04-07,112747,57072,55675
2015-04-14,110439,62390,48049
2015-04-21,108259,60134,48125
2015-04-28,114952,64369,50583
2015-05-05,98957,76100,22857
2015-05-12,104207,76488,27719
2015-05-19,132306,53689,78617
2015-05-26,125069,58825,66244
2015-06-02,125229,63482,61747
2015-06-09,121125,83486,37639
2015-06-16,124527,89529,34998
2015-06-23,124843,84927,39916
2015-06-30,115188,99565,15623
2015-07-07,111482,109383,2099
2015-07-14,108413,109536,-1123
2015-07-21,106297,119853,-13556
2015-07-28,106284,120917,-14633
2015-08-04,103573,114860,-11287
2015-08-11,108507,113937,-5430
2015-08-18,112075,104158,7917
2015-08-25,119456,78842,40614
2015-09-01,112641,72044,40597
2015-09-08,112684,85859,26825
2015-09-15,104300,95493,8807
2015-09-22,107531,86702,20829
2015-09-29,112633,72069,40564
2015-10-06,115414,69576,45838
2015-10-13,128350,51137,77213
2015-10-20,156199,39855,116344
2015-10-27,147660,33568,114092
2015-11-03,116702,49495,67207
2015-11-10,91880,75011,16869
2015-11-17,90510,104433,-13923
2015-11-24,91059,107723,-16664
2015-12-01,89982,110548,-20566
2015-12-08,92488,109910,-17422
2015-12-15,83617,110836,-27219
2015-12-22,79979,100041,-20062
2015-12-29,76071,103272,-27201
2016-01-05,79732,95659,-15927
2016-01-12,82908,82816,92
2016-01-19,84054,83615,439
2016-01-26,95745,78942,16803
2016-02-02,100566,71530,29036
2016-02-09,121059,60423,60636
2016-02-16,126219,45206,81013
2016-02-23,141373,32276,109097
2016-03-01,133823,29453,104370
2016-03-08,160317,32890,127427
2016-03-15,159202,29425,129777
2016-03-22,174457,29558,144899
